log_file_path,lr,bs,ti,loss,smooth loss,h,ffnh,numh,numl,D,N,D/N,M,exp_name
/data/group-xiangyu/pretrain-playground/tensorboard_logs/llm-family-1b/D_N_93_resume_20b/step2v2_0603_lr_bs_1b_dense_exp_d80b_lr3.906E-03_bs256_mlr3.906E-04_resume_d20b/train_log_31.txt,0.003906,256,190734,2.102457,2.1085831362922,2048,8192,16,16,100000000000,1073741824,93.13225746154784,7247757312,step2v2_0603_lr_bs_1b_dense_exp_d80b_lr3.906E-03_bs256_mlr3.906E-04_resume_d20b
/data/group-xiangyu/pretrain-playground/tensorboard_logs/llm-family-1b/D_N_93_resume_20b/step2v2_0603_lr_bs_1b_dense_exp_d80b_lr4.880E-04_bs2048_mlr4.880E-05_resume_d20b/train_log_31.txt,0.000488,2048,23841,2.128498,2.128467670928956,2048,8192,16,16,100000000000,1073741824,93.13225746154784,7247757312,step2v2_0603_lr_bs_1b_dense_exp_d80b_lr4.880E-04_bs2048_mlr4.880E-05_resume_d20b
/data/group-xiangyu/pretrain-playground/tensorboard_logs/llm-family-1b/D_N_93_resume_20b/step2v2_0603_lr_bs_1b_dense_exp_d80b_lr1.381E-03_bs4096_mlr1.381E-04_resume_d20b/train_log_31.txt,0.001381,4096,11920,2.143683,2.1420915346362954,2048,8192,16,16,100000000000,1073741824,93.13225746154784,7247757312,step2v2_0603_lr_bs_1b_dense_exp_d80b_lr1.381E-03_bs4096_mlr1.381E-04_resume_d20b
/data/group-xiangyu/pretrain-playground/tensorboard_logs/llm-family-1b/D_N_93_resume_20b/step2v2_0603_lr_bs_1b_dense_exp_d80b_lr9.770E-04_bs128_mlr9.770E-05_resume_d20b/train_log_31.txt,0.000977,128,381469,2.098029,2.092461932552637,2048,8192,16,16,100000000000,1073741824,93.13225746154784,7247757312,step2v2_0603_lr_bs_1b_dense_exp_d80b_lr9.770E-04_bs128_mlr9.770E-05_resume_d20b
/data/group-xiangyu/pretrain-playground/tensorboard_logs/llm-family-1b/D_N_93_resume_20b/step2v2_0603_lr_bs_1b_dense_exp_d80b_lr2.762E-03_bs1472_mlr2.762E-04_resume_d20b/train_log_31.txt,0.002762,1472,33171,2.088564,2.094959063498583,2048,8192,16,16,100000000000,1073741824,93.13225746154784,7247757312,step2v2_0603_lr_bs_1b_dense_exp_d80b_lr2.762E-03_bs1472_mlr2.762E-04_resume_d20b
/data/group-xiangyu/pretrain-playground/tensorboard_logs/llm-family-1b/D_N_93_resume_20b/step2v2_0603_lr_bs_1b_dense_exp_d80b_lr5.524E-03_bs384_mlr5.524E-04_resume_d20b/train_log_31.txt,0.005524,384,127156,2.116491,2.1194611918632944,2048,8192,16,16,100000000000,1073741824,93.13225746154784,7247757312,step2v2_0603_lr_bs_1b_dense_exp_d80b_lr5.524E-03_bs384_mlr5.524E-04_resume_d20b
/data/group-xiangyu/pretrain-playground/tensorboard_logs/llm-family-1b/D_N_93_resume_20b/step2v2_0603_lr_bs_1b_dense_exp_d80b_lr1.381E-03_bs128_mlr1.381E-04_resume_d20b/train_log_31.txt,0.001381,128,381469,2.105011,2.100125605531321,2048,8192,16,16,100000000000,1073741824,93.13225746154784,7247757312,step2v2_0603_lr_bs_1b_dense_exp_d80b_lr1.381E-03_bs128_mlr1.381E-04_resume_d20b
/data/group-xiangyu/pretrain-playground/tensorboard_logs/llm-family-1b/D_N_93_resume_20b/step2v2_0603_lr_bs_1b_dense_exp_d80b_lr5.524E-03_bs128_mlr5.524E-04_resume_d20b/train_log_31.txt,0.005524,128,381469,2.175315,2.1716043147681834,2048,8192,16,16,100000000000,1073741824,93.13225746154784,7247757312,step2v2_0603_lr_bs_1b_dense_exp_d80b_lr5.524E-03_bs128_mlr5.524E-04_resume_d20b
/data/group-xiangyu/pretrain-playground/tensorboard_logs/llm-family-1b/D_N_93_resume_20b/step2v2_0603_lr_bs_1b_dense_exp_d80b_lr2.440E-04_bs384_mlr2.440E-05_resume_d20b/train_log_31.txt,0.000244,384,127156,2.10993,2.1122135545981378,2048,8192,16,16,100000000000,1073741824,93.13225746154784,7247757312,step2v2_0603_lr_bs_1b_dense_exp_d80b_lr2.440E-04_bs384_mlr2.440E-05_resume_d20b
/data/group-xiangyu/pretrain-playground/tensorboard_logs/llm-family-1b/D_N_93_resume_20b/step2v2_0603_lr_bs_1b_dense_exp_d80b_lr2.762E-03_bs384_mlr2.762E-04_resume_d20b/train_log_31.txt,0.002762,384,127156,2.081565,2.083518525372107,2048,8192,16,16,100000000000,1073741824,93.13225746154784,7247757312,step2v2_0603_lr_bs_1b_dense_exp_d80b_lr2.762E-03_bs384_mlr2.762E-04_resume_d20b
